type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,food_per_guest,food_per_guest_category
Meat,400,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25,1.25,Low
Fruits,320,Corporate,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35,1.25,Low
Meat,380,Birthday,480,Refrigerated,Regular,All Seasons,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Fruits,380,Corporate,480,Refrigerated,Occasional,Winter,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Meat,300,Wedding,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15,1.3333333333333333,Medium
Vegetables,380,Birthday,480,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Meat,280,Corporate,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Baked Goods,300,Wedding,400,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,1.3333333333333333,Medium
Meat,400,Corporate,350,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35,0.875,Low
Fruits,400,Birthday,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,1.125,Low
Meat,240,Wedding,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20,1.875,High
Meat,250,Wedding,350,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,20,1.4,Medium
Meat,320,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,25,1.25,Low
Baked Goods,450,Birthday,500,Room Temperature,Regular,Summer,Finger Food,Rural,High,30,1.1111111111111112,Low
Baked Goods,439,Corporate,459,Room Temperature,Occasional,Winter,Buffet,Suburban,Low,36,1.0455580865603644,Low
Baked Goods,280,Wedding,350,Room Temperature,Occasional,All Seasons,Buffet,Urban,Low,20,1.25,Low
Fruits,310,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35,1.1290322580645162,Low
Vegetables,208,Wedding,282,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,22,1.3557692307692308,Medium
Fruits,208,Wedding,282,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22,1.3557692307692308,Medium
Vegetables,250,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,20,1.4,Medium
Baked Goods,300,Wedding,400,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15,1.3333333333333333,Medium
Fruits,250,Corporate,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Baked Goods,290,Birthday,374,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,27,1.289655172413793,Low
Fruits,342,Corporate,405,Refrigerated,Occasional,All Seasons,Finger Food,Urban,Moderate,29,1.1842105263157894,Low
Dairy Products,280,Wedding,480,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,15,1.7142857142857142,Medium
Vegetables,434,Wedding,495,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Urban,Low,36,1.140552995391705,Low
Meat,230,Social Gathering,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Low,20,2.1739130434782608,High
Baked Goods,491,Birthday,497,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,32,1.0122199592668024,Low
Dairy Products,250,Social Gathering,500,Room Temperature,Regular,Winter,Buffet,Urban,High,40,2.0,High
Fruits,320,Social Gathering,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,1.5,Medium
Fruits,400,Corporate,500,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,High,50,1.25,Low
Fruits,230,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20,2.1739130434782608,High
Fruits,208,Wedding,282,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22,1.3557692307692308,Medium
Dairy Products,220,Birthday,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Fruits,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,1.3333333333333333,Medium
Baked Goods,453,Birthday,484,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,54,1.0684326710816776,Low
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,40,1.3333333333333333,Medium
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,15,1.3636363636363635,Medium
Fruits,450,Social Gathering,500,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,30,1.1111111111111112,Low
Meat,400,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50,1.25,Low
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,15,1.3636363636363635,Medium
Baked Goods,208,Corporate,282,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,22,1.3557692307692308,Medium
Meat,280,Social Gathering,350,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Moderate,20,1.25,Low
Dairy Products,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,35,1.2857142857142858,Low
Fruits,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20,1.25,Low
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45,1.2857142857142858,Low
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.3333333333333333,Medium
Baked Goods,230,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,30,2.1739130434782608,High
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50,1.25,Low
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3333333333333333,Medium
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Dairy Products,261,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23,1.3409961685823755,Medium
Dairy Products,438,Social Gathering,493,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,35,1.1255707762557077,Low
Meat,491,Birthday,497,Refrigerated,Regular,Summer,Finger Food,Urban,High,32,1.0122199592668024,Low
Meat,300,Birthday,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,1.3333333333333333,Medium
Meat,300,Wedding,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,1.3333333333333333,Medium
Meat,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,1.2857142857142858,Low
Meat,292,Corporate,470,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50,1.6095890410958904,Medium
Meat,300,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,1.3333333333333333,Medium
Baked Goods,430,Corporate,477,Room Temperature,Regular,Summer,Buffet,Urban,Low,29,1.1093023255813954,Low
Fruits,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15,1.3636363636363635,Medium
Meat,320,Wedding,400,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.25,Low
Fruits,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15,1.3333333333333333,Medium
Meat,350,Wedding,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35,1.2857142857142858,Low
Meat,320,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,1.25,Low
Fruits,400,Birthday,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,1.25,Low
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,1.4,Medium
Dairy Products,261,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23,1.3409961685823755,Medium
Fruits,220,Corporate,300,Refrigerated,Regular,Winter,Finger Food,Rural,Low,15,1.3636363636363635,Medium
Meat,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,45,1.25,Low
Meat,280,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Urban,Low,15,1.25,Low
Vegetables,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,1.25,Low
Meat,250,Corporate,350,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,20,1.4,Medium
Meat,300,Birthday,400,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,15,1.3333333333333333,Medium
Meat,300,Corporate,400,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,15,1.3333333333333333,Medium
Meat,350,Corporate,450,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20,1.2857142857142858,Low
Meat,220,Corporate,450,Refrigerated,Occasional,Winter,Finger Food,Urban,Moderate,30,2.0454545454545454,High
Vegetables,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,20,1.25,Low
Meat,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,1.25,Low
Vegetables,320,Birthday,400,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,40,1.25,Low
Dairy Products,250,Corporate,500,Room Temperature,Regular,Winter,Buffet,Urban,High,40,2.0,High
Baked Goods,310,Birthday,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,25,1.4516129032258065,Medium
Vegetables,220,Corporate,300,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,20,1.3636363636363635,Medium
Baked Goods,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Urban,Low,15,1.3636363636363635,Medium
Fruits,350,Wedding,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.2857142857142858,Low
Meat,320,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,1.25,Low
Fruits,300,Wedding,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,1.3333333333333333,Medium
Vegetables,320,Wedding,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,1.25,Low
Fruits,320,Social Gathering,400,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30,1.25,Low
Dairy Products,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25,1.4516129032258065,Medium
Meat,300,Corporate,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35,1.3333333333333333,Medium
Vegetables,250,Corporate,350,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,40,1.4,Medium
Fruits,220,Wedding,300,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Meat,350,Wedding,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,1.2857142857142858,Low
Baked Goods,400,Corporate,500,Room Temperature,Regular,Summer,Finger Food,Urban,High,40,1.25,Low
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,1.4,Medium
Vegetables,302,Corporate,371,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,27,1.228476821192053,Low
Baked Goods,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25,1.2857142857142858,Low
Baked Goods,220,Birthday,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,15,1.3636363636363635,Medium
Fruits,250,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,1.4,Medium
Dairy Products,280,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,1.25,Low
Meat,488,Social Gathering,498,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,63,1.0204918032786885,Low
Fruits,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15,1.3636363636363635,Medium
Fruits,320,Social Gathering,400,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,45,1.25,Low
Meat,320,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,25,1.25,Low
Dairy Products,207,Birthday,280,Room Temperature,Regular,Summer,Finger Food,Rural,High,20,1.3526570048309179,Medium
Fruits,280,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20,1.25,Low
Baked Goods,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,20,1.3333333333333333,Medium
Baked Goods,310,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35,1.1290322580645162,Low
Fruits,400,Social Gathering,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45,1.25,Low
Fruits,400,Birthday,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25,1.25,Low
Fruits,491,Social Gathering,497,Room Temperature,Regular,Summer,Finger Food,Urban,High,32,1.0122199592668024,Low
Baked Goods,220,Wedding,300,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Vegetables,320,Corporate,400,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,High,35,1.25,Low
Vegetables,350,Corporate,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,1.2857142857142858,Low
Baked Goods,400,Wedding,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50,1.25,Low
Baked Goods,320,Wedding,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.25,Low
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,20,1.3333333333333333,Medium
Baked Goods,250,Wedding,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.4,Medium
Baked Goods,280,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,1.25,Low
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45,1.25,Low
Meat,250,Corporate,350,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Vegetables,400,Corporate,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Low,25,1.25,Low
Meat,300,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.3333333333333333,Medium
Baked Goods,250,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30,1.4,Medium
Fruits,320,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.25,Low
Fruits,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Fruits,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,1.25,Low
Dairy Products,400,Birthday,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45,1.25,Low
Baked Goods,350,Wedding,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,30,1.2857142857142858,Low
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40,1.25,Low
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,1.4,Medium
Fruits,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50,1.25,Low
Baked Goods,310,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35,1.1290322580645162,Low
Baked Goods,350,Corporate,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,1.2857142857142858,Low
Baked Goods,320,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,1.25,Low
Baked Goods,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Dairy Products,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20,1.25,Low
Dairy Products,250,Birthday,350,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20,1.4,Medium
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,30,1.4,Medium
Baked Goods,220,Wedding,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Baked Goods,300,Social Gathering,400,Room Temperature,Occasional,All Seasons,Buffet,Suburban,Low,20,1.3333333333333333,Medium
Dairy Products,350,Birthday,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,29,1.1842105263157894,Low
Baked Goods,380,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,1.3157894736842106,Medium
Baked Goods,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50,1.25,Low
Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,1.25,Low
Dairy Products,400,Wedding,500,Room Temperature,Occasional,Winter,Sit-down Dinner,Urban,High,40,1.25,Low
Dairy Products,320,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.25,Low
Dairy Products,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,1.25,Low
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,1.25,Low
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20,1.3333333333333333,Medium
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Baked Goods,400,Wedding,500,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,40,1.25,Low
Vegetables,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Vegetables,429,Social Gathering,496,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,42,1.156177156177156,Low
Baked Goods,380,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25,1.0526315789473684,Low
Baked Goods,250,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,1.4,Medium
Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.4,Medium
Dairy Products,250,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20,1.4,Medium
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20,1.3333333333333333,Medium
Dairy Products,320,Social Gathering,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,1.5,Medium
Dairy Products,380,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25,1.0526315789473684,Low
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.25,Low
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.3333333333333333,Medium
Dairy Products,397,Social Gathering,482,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,31,1.2141057934508817,Low
Baked Goods,350,Birthday,450,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Meat,488,Wedding,498,Refrigerated,Regular,Winter,Finger Food,Rural,High,63,1.0204918032786885,Low
Meat,320,Corporate,400,Refrigerated,Regular,Summer,Buffet,Urban,Moderate,25,1.25,Low
Meat,302,Birthday,371,Room Temperature,Regular,Summer,Buffet,Suburban,Low,27,1.228476821192053,Low
Meat,300,Wedding,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,35,1.5,Medium
Meat,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40,1.2857142857142858,Low
Vegetables,280,Wedding,350,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20,1.25,Low
Meat,300,Wedding,450,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,35,1.5,Medium
Fruits,320,Birthday,480,Room Temperature,Regular,Summer,Buffet,Suburban,High,40,1.5,Medium
Fruits,350,Birthday,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30,1.2857142857142858,Low
Meat,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,1.3333333333333333,Medium
Meat,350,Corporate,450,Refrigerated,Occasional,Summer,Finger Food,Suburban,High,30,1.2857142857142858,Low
Baked Goods,367,Birthday,420,Room Temperature,Regular,Winter,Buffet,Suburban,Low,40,1.1444141689373297,Low
Meat,300,Wedding,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,25,1.3333333333333333,Medium
Meat,300,Wedding,400,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Low,20,1.3333333333333333,Medium
Fruits,280,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Low,25,1.25,Low
Fruits,320,Corporate,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,1.5,Medium
Baked Goods,320,Wedding,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,35,1.25,Low
Meat,250,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,25,1.6,Medium
Vegetables,207,Birthday,280,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,20,1.3526570048309179,Medium
Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35,1.4,Medium
Meat,250,Corporate,350,Room Temperature,Occasional,Winter,Finger Food,Suburban,High,35,1.4,Medium
Fruits,350,Birthday,450,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,45,1.2857142857142858,Low
Fruits,438,Wedding,493,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,35,1.1255707762557077,Low
Meat,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,1.1290322580645162,Low
Baked Goods,320,Wedding,400,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,25,1.25,Low
Fruits,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50,1.25,Low
Meat,453,Social Gathering,484,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54,1.0684326710816776,Low
Baked Goods,350,Birthday,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,1.2857142857142858,Low
Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,45,1.25,Low
Meat,400,Corporate,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50,1.25,Low
Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30,1.3333333333333333,Medium
Dairy Products,434,Birthday,495,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,36,1.140552995391705,Low
Fruits,280,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25,1.25,Low
Baked Goods,400,Social Gathering,450,Room Temperature,Regular,Summer,Buffet,Urban,Moderate,30,1.125,Low
Baked Goods,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,1.25,Low
Meat,350,Wedding,450,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Fruits,453,Birthday,484,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,54,1.0684326710816776,Low
Dairy Products,453,Corporate,484,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,54,1.0684326710816776,Low
Dairy Products,240,Wedding,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20,1.875,High
Dairy Products,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.2857142857142858,Low
Dairy Products,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,1.3333333333333333,Medium
Meat,367,Birthday,420,Room Temperature,Regular,Summer,Buffet,Urban,Low,40,1.1444141689373297,Low
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Finger Food,Urban,Low,15,1.3636363636363635,Medium
Fruits,280,Wedding,350,Refrigerated,Regular,Winter,Finger Food,Urban,Low,20,1.25,Low
Fruits,491,Birthday,497,Refrigerated,Regular,Winter,Finger Food,Urban,High,32,1.0122199592668024,Low
Baked Goods,434,Wedding,495,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,36,1.140552995391705,Low
Vegetables,230,Corporate,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,30,2.1739130434782608,High
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.4,Medium
Dairy Products,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.3333333333333333,Medium
Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,1.2857142857142858,Low
Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25,1.25,Low
Dairy Products,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Urban,High,35,1.1290322580645162,Low
Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,1.25,Low
Baked Goods,260,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20,1.5384615384615385,Medium
Meat,400,Birthday,450,Refrigerated,Occasional,Winter,Buffet,Urban,Moderate,30,1.125,Low
Meat,275,Corporate,388,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,16,1.410909090909091,Medium
Meat,320,Corporate,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,1.25,Low
Meat,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50,1.25,Low
Dairy Products,400,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,1.0,Low
Dairy Products,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1.25,Low
Vegetables,300,Social Gathering,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,1.5,Medium
Baked Goods,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15,1.3636363636363635,Medium
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50,1.25,Low
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Fruits,453,Wedding,484,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,54,1.0684326710816776,Low
Fruits,250,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,30,1.4,Medium
Vegetables,350,Corporate,450,Room Temperature,Regular,Winter,Buffet,Urban,High,40,1.2857142857142858,Low
Meat,300,Wedding,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,1.3333333333333333,Medium
